idPNMain,PNG,Name,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,LABEL
8,000.0+02.0,K 6-4,37:42.9,-27:49:09.55,264.42886,-27.81932, True PN
9,000.1-01.9,JaSt 93,53:23.8,-29:49:45.5,268.34908,-29.82931, True PN
10,000.1-08.0,SB 1,18:48.5,-32:47:55.32,274.702,-32.7987, True PN
11,000.1-01.1,M 3-43,50:24.3,-29:25:18.70,267.60123,-29.42186, True PN
12,000.1+02.6,Al 2-J,35:35.4,-27:24:04.97,263.89753,-27.40138, True PN
13,000.1-05.6,H 2-40,08:30.7,-31:36:35.64,272.128,-31.6099, True PN
14,000.1+17.2,PC 12,43:53.8,-18:57:11.88,250.97409,-18.9533, True PN
15,000.0-01.0,JaSt 69,50:10.0,-29:19:05.38,267.54154,-29.31816, True PN
16,000.1+04.3,H 1-16,29:23.4,-26:26:04.38,262.34732,-26.43455, True PN
17,000.1-02.3,Bl 3-10,55:20.5,-29:57:36.14,268.83557,-29.96004, True PN
19,000.2-01.9,M 2-19,53:45.6,-29:43:46.34,268.44009,-29.72954, True PN
20,000.2-04.6,Wray 16-363,04:44.1,-31:02:48.16,271.18369,-31.04671, True PN
21,000.2+01.7,JaSt 19,39:39.3,-27:47:21.9,264.91371,-27.78942, True PN
22,000.3-04.6,M 2-28,05:02.7,-30:58:17.40,271.26123,-30.9715, True PN
23,000.3+12.2,IC 4634,01:33.6,-21:49:32.77,255.38988,-21.82577, True PN
24,000.3+06.9,Terz N 41,20:22.0,-24:51:52.24,260.09152,-24.86451, True PN
25,000.3-02.8,M 3-47,57:43.4,-30:02:29.90,269.43069,-30.04164, True PN
26,000.4-01.9,M 2-20,54:25.4,-29:36:08.78,268.60571,-29.60244, True PN
27,000.4-02.9,M 3-19,58:19.3,-30:00:39.31,269.58057,-30.01092, True PN
28,000.4+01.1,JaSt 36,42:25.1,-27:55:35.94,265.60461,-27.92665, True PN
29,000.5+01.9,JaSt 17,39:31.2,-27:27:46.76,264.88007,-27.46299, True PN
30,000.5-03.1,KFL 1,59:15.6,-30:02:47.15,269.81494,-30.04643, True PN
31,000.5-01.6,Al 2-Q,53:25.0,-29:17:08.74,268.35434,-29.28576, True PN
32,000.5-01.7,JaSt 96,53:57.6,-29:20:15.72,268.49,-29.3377, True PN
33,000.6-02.3,H 2-32,56:24.3,-29:38:06.40,269.10132,-29.63511, True PN
34,000.6-01.0,JaSt 77,51:11.5,-28:56:26.16,267.79794,-28.9406, True PN
35,000.6-01.3,Bl 3-15,52:36.1,-29:06:39.6,268.15021,-29.111, True PN
37,000.7-02.7,M 2-21,58:09.6,-29:44:20.08,269.53986,-29.73891, True PN
38,000.7-03.7,M 3-22,02:19.2,-30:14:25.37,270.58017,-30.24038, True PN
39,000.7+04.7,H 2-11,29:25.9,-25:49:06.64,262.35812,-25.81851, True PN
40,000.7+03.2,M 4-5,34:54.7,-26:35:56.90,263.72797,-26.59914, True PN
41,000.7-00.8,JaSt 74,50:46.8,-28:44:35.2,267.69483,-28.74311, True PN
42,000.7-07.4,M 2-35,17:37.2,-31:56:46.86,274.40497,-31.94635, True PN
43,000.8+01.3,JaSt 38,42:32.4,-27:33:15.84,265.635,-27.5544, True PN
44,000.0-01.2,JaSt 71,50:23.2,-28:33:10.37,267.59651,-28.55288, True PN
45,000.8-01.5,Sa 3-90,53:49.7,-28:59:11.26,268.45715,-28.98646, True PN
46,000.8-07.6,H 2-46,18:37.4,-31:54:45.43,274.65601,-31.91262, True PN
47,000.9+01.1,JaSt 44,43:23.4,-27:34:05.2,265.84733,-27.56811, True PN
48,000.9-04.8,M 3-23,07:06.1,-30:34:16.97,271.7756,-30.57138, True PN
49,000.9-00.9,JaSt 78,51:24.7,-28:35:40.56,267.853,-28.5946, True PN
50,000.9-02.0,Bl 3-13,56:02.8,-29:11:16.22,269.01151,-29.18784, True PN
51,001.0+01.9,K 1-4,40:27.4,-27:01:02.0,265.11417,-27.01722, True PN
52,001.1-06.4,SB 4,14:14.2,-31:11:09.10,273.55908,-31.18586, True PN
54,001.1-01.6,Sa 3-92,54:52.1,-28:48:55.33,268.71692,-28.81537, True PN
57,001.2+00.7,JaSt 56,45:46.9,-27:30:42.91,266.44559,-27.51192, Possible PN
58,001.2+02.1,Hen 2-262,40:12.8,-26:44:21.37,265.05341,-26.73927, True PN
59,001.2-01.2a,JaSt 95,53:35.3,-28:28:50.88,268.397,-28.4808, True PN
60,001.2-03.0,H 1-47,00:37.6,-29:21:50.22,270.15665,-29.36395, True PN
61,001.3-05.6,SB 5,11:15.4,-30:37:50.0,272.81421,-30.63056, Likely PN
62,001.3-01.2,Bl M,53:47.2,-28:27:18.0,268.44667,-28.455, True PN
63,001.3-01.0,JaSt 89,53:06.6,-28:18:11.16,268.27747,-28.3031, True PN
64,001.4+05.3,H 1-15,28:37.6,-24:51:06.59,262.15674,-24.85183, True PN
65,001.4-03.4,ShWi 2-1,02:26.4,-29:25:05.52,270.61,-29.4182, True PN
66,001.5-00.7,K 6-17,52:08.7,-28:02:17.1,268.03638,-28.03808, True PN
67,001.5+03.6,K 5-5,35:22.1,-25:42:47.04,263.84217,-25.71307, True PN
68,001.5-06.7,SwSt 1,16:12.3,-30:52:07.74,274.05112,-30.86882, True PN
69,001.6+01.5,K 6-10,43:16.9,-26:44:17.56,265.82062,-26.73821, True PN
70,001.6-01.3,Bl Q,54:34.9,-28:12:43.06,268.64526,-28.21196, True PN
71,001.6+00.1,JaSt 63,48:46.2,-27:25:36.84,267.19245,-27.4269, True PN
72,001.6-05.9,SB 6,13:15.8,-30:26:00.96,273.316,-30.4336, True PN
73,001.7+05.7,H 1-14,28:01.8,-24:25:23.02,262.00732,-24.42306, True PN
74,001.7-04.4,H 1-55,07:14.6,-29:41:24.424,271.81063,-29.69012, True PN
75,001.7+01.3,JaSt 52,44:37.2,-26:47:25.44,266.155,-26.7904, True PN
76,001.7-04.6,H 1-56,07:53.9,-29:44:34.26,271.97449,-29.74285, True PN
77,001.7-01.6,H 2-31,56:02.4,-28:14:12.14,269.00996,-28.23671, True PN
78,001.7-03.8,ShWi 2-7,05:05.5,-29:20:15.36,271.273,-29.3376, True PN
79,001.9+02.3,K 5-10,41:24.5,-26:03:53.28,265.352,-26.0648, True PN
81,002.0-06.2,M 2-33,15:06.5,-30:15:32.90,273.77722,-30.25914, True PN
82,002.1-04.2,H 1-54,07:07.2,-29:13:06.35,271.78015,-29.21843, True PN
83,002.1-02.2,M 3-20,59:19.3,-28:13:48.04,269.83051,-28.23001, True PN
84,002.1+03.3,PBOZ 24,37:51.1,-25:20:44.59,264.46292,-25.34572, True PN
85,002.1+01.7,JaFu 1,43:57.2,-26:11:53.52,265.98836,-26.1982, True PN
86,002.2-02.7,M 2-23,01:42.6,-28:25:43.90,270.42755,-28.42886, True PN
87,002.2+00.5,Terz N 2337,48:45.1,-26:43:24.60,267.188,-26.7235, True PN
88,002.2-06.3,H 1-63,16:19.3,-30:07:35.98,274.08057,-30.12666, True PN
89,002.2-02.5,KFL 2,00:59.8,-28:16:18.84,270.249,-28.2719, True PN
90,002.2-09.4,Cn 1-5,29:11.6,-31:29:59.2,277.29854,-31.49978, True PN
91,002.3+02.2,K 5-11,42:30.0,-25:45:27.07,265.625,-25.75752, True PN
92,002.3-07.8,M 2-41,22:34.6,-30:43:29.64,275.644,-30.7249, True PN
93,002.3-03.4,H 2-37,04:28.8,-28:37:38.28,271.12,-28.6273, True PN
94,002.4+05.8,NGC 6369,29:20.4,-23:45:34.24,262.33517,-23.75951, True PN
95,002.4-03.2,Wray 17-107,04:05.4,-28:27:50.90,271.02264,-28.46414, True PN
96,002.4-03.7,M 1-38,06:05.7,-28:40:30.001,271.52389,-28.675, True PN
98,002.5-01.7,Pe 2-11,58:31.2,-27:37:05.38,269.63007,-27.61816, True PN
100,002.6+05.5,K 5-3,30:41.2,-23:45:00.40,262.67166,-23.75011, True PN
101,002.6+08.1,H 1-11,21:17.7,-22:18:35.32,260.32373,-22.30981, True PN
102,002.6-03.4,M 1-37,05:25.8,-28:22:04.19,271.35751,-28.36783, True PN
103,002.6+04.2,Th 3-27,35:58.5,-24:25:29.14,263.99362,-24.42476, True PN
104,002.7-52.4,IC 5148/50,59:35.2,-39:23:08.02,329.89667,-39.38556, True PN
105,002.7-04.8,M 1-42,11:05.0,-28:58:59.34,272.77094,-28.98315, True PN
106,002.8+01.7,H 2-20,45:39.8,-25:40:00.05,266.41571,-25.66668, True PN
107,002.8+01.8,Terz N 1567,45:28.3,-25:38:12.48,266.368,-25.6368, True PN
108,002.8-02.2,Pe 2-12,01:10.1,-27:38:26.20,270.292,-27.64061, True PN
109,002.9-03.9,H 2-39,08:05.8,-28:26:10.8,272.02404,-28.43633, True PN
