ID,Name,DRAJ2000,DDECJ2000,Label
2,n/a,0,0,
6,n/a,0,0,
9,JaSt 93,268.3491,-29.8293,True PN
5,n/a,0,0,
10,SB 1,274.702,-32.7987,True PN
4,n/a,0,0,
8,K 6-4,264.4289,-27.8193,True PN
11,M 3-43,267.6012,-29.4219,True PN
3,n/a,0,0,
7,n/a,0,0,
1,n/a,0,0,
13,H 2-40,272.128,-31.6099,True PN
12,Al 2-J,263.8975,-27.4014,True PN
16,H 1-16,262.3473,-26.4346,True PN
18,JaSt 79,267.9731,-29.5148,Symbiotic Star
19,M 2-19,268.4401,-29.7295,True PN
17,Bl 3-10,268.8356,-29.96,True PN
23,IC 4634,255.3899,-21.8258,True PN
15,JaSt 69,267.5415,-29.3182,True PN
20,Wray 16-363,271.1837,-31.0467,True PN
22,M 2-28,271.2612,-30.9715,True PN
24,Terz N 41,260.0915,-24.8645,True PN
21,JaSt 19,264.9137,-27.7894,True PN
25,M 3-47,269.4307,-30.0416,True PN
14,PC 12,250.9741,-18.9533,True PN
27,M 3-19,269.5806,-30.0109,True PN
28,JaSt 36,265.6046,-27.9267,True PN
26,M 2-20,268.6057,-29.6024,True PN
30,KFL 1,269.8149,-30.0464,True PN
31,Al 2-Q,268.3543,-29.2858,True PN
29,JaSt 17,264.8801,-27.463,True PN
34,JaSt 77,267.7979,-28.9406,True PN
32,JaSt 96,268.49,-29.3377,True PN
35,Bl 3-15,268.1502,-29.111,True PN
33,H 2-32,269.1013,-29.6351,True PN
36,2MFGC 13750,258.5408,-23.5315,galaxy
38,M 3-22,270.5802,-30.2404,True PN
37,M 2-21,269.5399,-29.7389,True PN
39,H 2-11,262.3581,-25.8185,True PN
40,M 4-5,263.728,-26.5991,True PN
42,M 2-35,274.405,-31.9464,True PN
43,JaSt 38,265.635,-27.5544,True PN
44,JaSt 71,267.5965,-28.5529,True PN
47,JaSt 44,265.8473,-27.5681,True PN
41,JaSt 74,267.6948,-28.7431,True PN
48,M 3-23,271.7756,-30.5714,True PN
45,Sa 3-90,268.4572,-28.9865,True PN
46,H 2-46,274.656,-31.9126,True PN
52,SB 4,273.5591,-31.1859,True PN
51,K 1-4,265.1142,-27.0172,True PN
50,Bl 3-13,269.0115,-29.1878,True PN
49,JaSt 78,267.853,-28.5946,True PN
53,JaSt 54,266.2962,-27.5439,HII region
55,JaSt 62,267.1915,-27.9606,Not PN (check)
56,ShWi 2-5,270.9736,-29.8561,Symbiotic Star candidate
54,Sa 3-92,268.7169,-28.8154,True PN
59,JaSt 95,268.397,-28.4808,True PN
57,JaSt 56,266.4456,-27.5119,Possible PN
58,Hen 2-262,265.0534,-26.7393,True PN
60,H 1-47,270.1567,-29.364,True PN
64,H 1-15,262.1567,-24.8518,True PN
63,JaSt 89,268.2775,-28.3031,True PN
65,ShWi 2-1,270.61,-29.4182,True PN
61,SB 5,272.8142,-30.6306,Likely PN
62,Bl M,268.4467,-28.455,True PN
67,K 5-5,263.8422,-25.7131,True PN
68,SwSt 1,274.0511,-30.8688,True PN
66,K 6-17,268.0364,-28.0381,True PN
69,K 6-10,265.8206,-26.7382,True PN
70,Bl Q,268.6453,-28.212,True PN
73,H 1-14,262.0073,-24.4231,True PN
71,JaSt 63,267.1925,-27.4269,True PN
72,SB 6,273.316,-30.4336,True PN
76,H 1-56,271.9745,-29.7429,True PN
74,H 1-55,271.8106,-29.6901,True PN
78,ShWi 2-7,271.273,-29.3376,True PN
75,JaSt 52,266.155,-26.7904,True PN
77,H 2-31,269.01,-28.2367,True PN
80,H 1-45,269.5911,-28.2478,Symbiotic Star
79,K 5-10,265.352,-26.0648,True PN
82,H 1-54,271.7802,-29.2184,True PN
83,M 3-20,269.8305,-28.23,True PN
81,M 2-33,273.7772,-30.2591,True PN
84,PBOZ 24,264.4629,-25.3457,True PN
86,M 2-23,270.4276,-28.4289,True PN
85,JaFu 1,265.9884,-26.1982,True PN
88,H 1-63,274.0806,-30.1267,True PN
89,KFL 2,270.249,-28.2719,True PN
92,M 2-41,275.644,-30.7249,True PN
90,Cn 1-5,277.2985,-31.4998,True PN
93,H 2-37,271.12,-28.6273,True PN
87,Terz N 2337,267.188,-26.7235,True PN
94,NGC 6369,262.3352,-23.7595,True PN
91,K 5-11,265.625,-25.7575,True PN
98,Pe 2-11,269.6301,-27.6182,True PN
95,Wray 17-107,271.0226,-28.4641,True PN
97,PM 1-155,263.0533,-24.0832,Symbiotic Star candidate
96,M 1-38,271.5239,-28.675,True PN
100,K 5-3,262.6717,-23.7501,True PN
99,n/a,0,0,
101,H 1-11,260.3237,-22.3098,True PN
103,Th 3-27,263.9936,-24.4248,True PN
106,H 2-20,266.4157,-25.6667,True PN
102,M 1-37,271.3575,-28.3678,True PN
107,Terz N 1567,266.368,-25.6368,True PN
104,IC 5148/50,329.8967,-39.3856,True PN
105,M 1-42,272.7709,-28.9832,True PN
111,KFL 4,270.7144,-27.6835,True PN
109,H 2-39,272.024,-28.4363,True PN
110,PM 1-149,261.9738,-22.9552,True PN
108,Pe 2-12,270.292,-27.6406,True PN
112,K 5-7,264.334,-24.0582,True PN
115,KFL 12,272.6284,-28.323,True PN
113,Hb 4,265.47,-24.7023,True PN
117,KFL 19,275.7871,-29.7237,True PN
116,M 2-36,274.4226,-29.1388,True PN
114,H 2-17,265.0309,-24.4285,True PN
118,SB 7,274.4432,-29.1021,Likely PN
121,GLMP 572,262.4926,-22.6261,Not PN (check)
119,Ap 1-12,272.8962,-28.377,True PN
125,M 2-14,265.4886,-24.1877,True PN
122,H 2-43,273.1998,-28.3332,Symbiotic Star candidate
124,IC 4673,270.8267,-27.1063,True PN
120,SkAc 1,214.0915,13.8734,Possible PN
127,K 5-6,263.88,-23.1966,True PN
128,H 2-8,261.1895,-21.5598,True PN
129,M 2-30,273.1433,-27.9696,True PN
126,M 2-26,270.7994,-26.9751,True PN
131,H 1-59,272.8719,-27.771,True PN
123,NGC 6565,272.9686,-28.1784,True PN
130,H 2-15,263.6117,-22.8888,True PN
133,M 1-35,270.9138,-26.726,True PN
136,Hb 7,283.9077,-32.2635,True PN
132,H 2-41,273.099,-27.8705,True PN
134,KFL 7,271.7084,-27.1054,True PN
137,M 3-29,279.8574,-30.6769,True PN
135,Terz N 2111,267.1185,-24.69,True PN
138,Pe 1-12,274.4262,-28.2877,True PN
141,H 1-60,273.1048,-27.4869,True PN
140,KFL 11,272.551,-27.2764,True PN
143,M 2-37,274.6598,-28.1329,Likely PN
142,KFL 10,272.0055,-26.9004,True PN
144,n/a,0,0,
146,Kepler SNR,262.671,-21.4894,Supernova Remnant
151,H 2-25,267.252,-23.7152,True PN
145,H 1-53,271.4892,-26.4949,True PN
139,M 2-29,271.6703,-26.9155,True PN
147,SB 9,278.9263,-29.6397,Likely PN
150,M 3-26,274.0475,-27.2493,True PN
149,Hen 2-418,281.0608,-30.3269,True PN
148,H 1-24,263.4065,-21.7736,True PN
152,Hen 2-436,293.0279,-34.216,True PN
153,M 1-25,264.6263,-22.1441,True PN
155,H 1-27,265.0747,-22.3216,True PN
154,M 1-44,274.0723,-27.0763,True PN
156,H 2-42,273.0957,-26.5484,True PN
159,Hf 2-2,278.1285,-28.7222,True PN
157,Pe 1-9,266.403,-23.0404,True PN
162,M 3-12,264.0943,-21.5201,True PN
158,H 1-58,272.3077,-26.0413,True PN
161,StWr 2-21,288.5972,-32.5713,True PN
160,K 5-19,267.4637,-23.4623,True PN
163,M 3-13,265.4025,-22.2174,Likely PN
164,PBOZ 34,271.3557,-25.2266,True PN
165,H 2-44,273.419,-26.1441,True PN
167,H 1-34,267.032,-22.7799,True PN
168,KFL 16,274.225,-26.3892,True PN
166,M 3-24,271.9746,-25.4008,True PN
170,KFL 13,273.186,-25.7388,True PN
171,NGC 6620,275.7258,-26.8214,True PN
169,M 2-38,274.8548,-26.5889,True PN
174,M 2-31,273.3168,-25.5014,True PN
176,PRMG 1,316.4731,-37.1445,True PN
175,Th 4-3,267.1558,-22.2802,True PN
173,MaC 1-10,272.3018,-25.0763,Symbiotic Star candidate
177,KFL 15,273.581,-25.3471,True PN
178,HaTr 8,268.983,-22.9836,True PN
179,H 2-22,266.8914,-21.7898,True PN
172,H 2-16,264.981,-21.2365,True PN
180,H 2-18,265.8698,-21.1643,True PN
181,Pe 2-13,274.5557,-25.6358,True PN
184,H 1-61,273.1416,-24.8334,True PN
182,M 1-31,268.1727,-22.3658,True PN
185,PN PBOZ 29,266.9544,-21.5395,True PN
190,Wray 16-423,290.5443,-31.5107,True PN
186,M 1-41,272.3773,-24.2083,True PN
187,Al 1,278.7302,-27.105,True PN
191,Pe 2-10,268.4046,-21.9787,True PN
183,SB 13,275.751,-26.0877,True PN
188,H 2-45,273.6198,-24.7272,True PN
192,Vy 2-1,276.9984,-26.1134,True PN
193,M 1-24,264.5483,-19.6271,True PN
189,Th 4-7,268.0943,-21.8538,True PN
194,H 1-66,276.239,-25.6986,True PN
195,IC 4670,268.7793,-21.7445,True PN
196,Th 4-1,266.5867,-20.23,Symbiotic Star candidate
199,SB 14,275.927,-24.7912,True PN
